country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","26-11-2025 13:00:00",16.554731,80.649110,CO,22,47,35
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","26-11-2025 13:00:00",27.103358,93.679645,SO2,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","26-11-2025 13:00:00",26.071318,91.87488,PM2.5,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","26-11-2025 13:00:00",26.071318,91.87488,NH3,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","26-11-2025 13:00:00",26.2028636,91.70046436,NO2,1,6,3
India,Assam,Guwahati,"IITG, Guwahati - PCBA","26-11-2025 13:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","26-11-2025 13:00:00",26.10887,91.589544,PM10,52,82,70
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","26-11-2025 13:00:00",24.792403,84.992416,PM2.5,35,257,109
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","26-11-2025 13:00:00",24.762518,84.982348,PM10,39,78,54
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","26-11-2025 13:00:00",24.762518,84.982348,NO2,18,21,19
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","26-11-2025 13:00:00",25.697189,85.245900,NH3,5,11,8
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","26-11-2025 13:00:00",25.697189,85.245900,CO,16,134,49
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","26-11-2025 13:00:00",25.560083,87.553265,PM2.5,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","26-11-2025 13:00:00",25.560083,87.553265,SO2,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","26-11-2025 13:00:00",25.560083,87.553265,OZONE,4,11,7
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","26-11-2025 13:00:00",26.0881305,87.93840336,OZONE,16,18,17
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","26-11-2025 13:00:00",27.308328,84.531742,PM2.5,7,230,65
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","26-11-2025 13:00:00",27.308328,84.531742,NH3,1,2,1
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","26-11-2025 13:00:00",27.308328,84.531742,CO,30,34,33
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","26-11-2025 13:00:00",26.63086,84.90051,CO,30,48,37
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","26-11-2025 13:00:00",26.187500,91.744194,PM10,22,87,51
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","26-11-2025 13:00:00",26.187500,91.744194,CO,10,70,30
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","26-11-2025 13:00:00",26.181742,91.78063,SO2,31,34,33
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","26-11-2025 13:00:00",26.181742,91.78063,CO,24,62,41
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","26-11-2025 13:00:00",26.349082,92.68449,PM10,46,48,47
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","26-11-2025 13:00:00",26.446912,91.439057,PM10,NA,NA,NA
